sample_number,conversation_id,customer_tweet,agent_reply,suggested_intent,true_intent,is_customer,created_at
181,twcs_11504,@SpotifyCares Spotify says 'Storage is full' error even though my SD card has 256GB of free space.,"@user_spot_753_929 Hi! Premium allows downloading up to 10,000 tracks per device on up to 5 different devices! -Liam","Billing, Subscriptions & Refund Inquiries",Offline Playlists & Download Storage Management,True,2017-11-08T15:43:00
182,twcs_11734,@SpotifyCares My student discount expired yesterday. Can I re-verify my student status for another year?,"@user_spot_868_383 Hi! Log into spotify.com/account, select 'Manage members' under Duo/Family, and copy the new invite link to share. -Sarah",Family & Student Plan Eligibility & Verification,Family & Student Plan Eligibility & Verification,True,2017-11-09T18:33:00
183,twcs_10042,@SpotifyCares My subscription price jumped from $12.99 to $10.99 without advance notification on my billing statement.,@user_spot_22_216 Hey! We sent email notifications regarding updated pricing tiers in your region. DM us your username if you didn't receive it! -Kevin,Family & Student Plan Eligibility & Verification,"Billing, Subscriptions & Refund Inquiries",True,2017-11-01T13:09:00
184,twcs_10224,@SpotifyCares I was charged twice for my Spotify Family plan this month (€10.99 x 2). Can I get a refund for the duplicate transaction?,"@user_spot_113_398 Hello! Premium features stay active until the end of your prepaid billing period, with no further charges after that. -Ryan","Account Login, Password & Security Access",Family & Student Plan Eligibility & Verification,True,2017-11-02T10:31:00
185,twcs_10070,@SpotifyCares Can I get an official PDF invoice for business accounting and corporate expense filing?,"@user_spot_36_796 Hello! Premium features stay active until the end of your prepaid billing period, with no further charges after that. -Zoe",Offline Playlists & Download Storage Management,"Billing, Subscriptions & Refund Inquiries",True,2017-11-01T16:33:00
186,twcs_11470,@SpotifyCares Why do my downloaded podcasts automatically delete themselves after listening to them?,@user_spot_736_893 Hi! Make sure both devices are connected to the exact same WiFi network and Local Files are enabled in Settings. -Kevin,Family & Student Plan Eligibility & Verification,Offline Playlists & Download Storage Management,True,2017-11-08T11:49:00
187,twcs_11210,@SpotifyCares Can I merge two Spotify accounts (jordan_k and sam_spotify) into one without losing my playlists?,"@user_spot_606_885 Hey! Try disconnecting and reconnecting Facebook under spotify.com/account > Apps, or reset your password using your email. -Kevin",Family & Student Plan Eligibility & Verification,"Account Login, Password & Security Access",True,2017-11-07T05:31:00
188,twcs_10268,@SpotifyCares I updated my credit card details but my account is still showing payment past due and downgraded to Free.,"@user_spot_135_852 Hey! Please verify international transactions are enabled on your card, or try PayPal as a secondary billing method. -Zoe","Billing, Subscriptions & Refund Inquiries","Billing, Subscriptions & Refund Inquiries",True,2017-11-02T15:38:00
189,twcs_10840,@SpotifyCares Spotify Connect on my HomePod mini is constantly stuttering and pausing mid-song.,"@user_spot_421_589 Hey! Send us a DM with your speaker brand, router model, and Spotify app version so we can assist: https://spoti.fi/dm -Alex",Smart Speaker & External Device Connectivity,Smart Speaker & External Device Connectivity,True,2017-11-05T10:15:00
190,twcs_10606,@SpotifyCares App crashes immediately upon tapping the 'Your Library' tab on Android 14.,@user_spot_304_900 Hi! Disable 'Canvas' looping visuals under Settings > Playback to reduce background battery and CPU consumption. -Carlos,"App Stability, OS Freezes & Crash Reports","App Stability, OS Freezes & Crash Reports",True,2017-11-04T06:56:00
191,twcs_11658,@SpotifyCares Can family members on a plan see each other's private listening activity or liked songs?,@user_spot_830_755 Hey! All Family plan members must reside at the same physical residential address as the plan manager. -Emma,Family & Student Plan Eligibility & Verification,Family & Student Plan Eligibility & Verification,True,2017-11-09T09:49:00
192,twcs_10396,@SpotifyCares Audio crackling and popping sound distortion on high volume through AirPods Pro.,@user_spot_199_681 Hi! Check your phone's battery optimization settings and set Spotify to 'Unrestricted' background activity. -Chloe,Audio Streaming Quality & Playback Errors,Audio Streaming Quality & Playback Errors,True,2017-11-03T06:31:00
193,twcs_10572,@SpotifyCares Spotify keeps crashing on macOS Ventura upon launch. Crash log generated #CR-1108.,"@user_spot_287_123 Hey! Try clearing app storage and cache under Settings > Storage > Clear Cache, then restart your device. -Alex",Family & Student Plan Eligibility & Verification,"App Stability, OS Freezes & Crash Reports",True,2017-11-04T03:06:00
194,twcs_11716,@SpotifyCares Can family members on a plan see each other's private listening activity or liked songs?,@user_spot_859_522 Hey! Send us a DM with your account username so we can assist with Family/Student verification: https://spoti.fi/dm -Maya,Family & Student Plan Eligibility & Verification,Family & Student Plan Eligibility & Verification,True,2017-11-09T16:36:00
195,twcs_10844,@SpotifyCares Is there an official Spotify app for Apple Watch Series 7 with offline playback?,"@user_spot_423_279 Hey! Send us a DM with your speaker brand, router model, and Spotify app version so we can assist: https://spoti.fi/dm -Emma",Offline Playlists & Download Storage Management,Smart Speaker & External Device Connectivity,True,2017-11-05T10:43:00
196,twcs_10130,@SpotifyCares I was charged twice for my Spotify Family plan this month (€10.99 x 2). Can I get a refund for the duplicate transaction?,"@user_spot_66_632 Hey! Please verify international transactions are enabled on your card, or try PayPal as a secondary billing method. -Liam","Account Login, Password & Security Access",Family & Student Plan Eligibility & Verification,True,2017-11-01T23:31:00
197,twcs_11636,@SpotifyCares How many times can a college student renew the 50% off Student Premium discount?,@user_spot_819_895 Hi! Student verification is managed via SheerID. Check document submission guidelines here: https://spoti.fi/student -Chloe,Family & Student Plan Eligibility & Verification,Family & Student Plan Eligibility & Verification,True,2017-11-09T07:13:00
198,twcs_12076,@SpotifyCares How do I change my public username or display name on my Spotify artist/user profile?,@user_spot_1039_196 Hello! You can update your display name anytime from your profile page in the mobile or desktop app settings. -Zoe,Family & Student Plan Eligibility & Verification,"App Stability, OS Freezes & Crash Reports",True,2017-11-11T10:34:00
199,twcs_10222,@SpotifyCares I was charged twice for my Spotify Family plan this month ($12.99 x 2). Can I get a refund for the duplicate transaction?,@user_spot_112_290 Hey! We'd be glad to look into this charge. Send us a DM with your account email and we'll sort out the refund: https://spoti.fi/dm -Maya,"Account Login, Password & Security Access",Family & Student Plan Eligibility & Verification,True,2017-11-02T10:14:00
200,twcs_10028,@SpotifyCares I was charged twice for my Spotify Family plan this month ($14.99 x 2). Can I get a refund for the duplicate transaction?,@user_spot_15_330 Hello! We'd be happy to investigate this. Send us a private DM with your registered email and we'll check your billing status: https://spoti.fi/dm -Kevin,"Account Login, Password & Security Access",Family & Student Plan Eligibility & Verification,True,2017-11-01T11:40:00
